id,name,Rating,Bedrooms,Bathroom,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,license Satuts,
2384,Condo in Chicago ,5.0, 1 bedroom , 1 shared bath,41.7879,-87.5878,Private room,114,3,227,9/3/2023,2,1,322,20,R17000015609,  Register,
7126,Rental unit in Chicago ,4.7, 1 bedroom , 1 bath,41.90166,-87.68021,Entire home/apt,92,32,505,8/30/2023,3,1,347,45,R21000075737,  Register,
10945,Rental unit in Chicago ,4.7, 2 bedrooms , 1 bath,41.91196,-87.63981,Entire home/apt,170,4,72,8/29/2023,1,7,146,16,2209984,  Register,
12140,Boutique hotel in Chicago ,4.9, 1 bedroom , 1 private bath,41.92357,-87.64947,Private room,329,2,15,5/21/2023,0,1,165,3,R20000055258,  Register,
24833,Rental unit in Chicago ,4.3, 1 bedroom , 1 bath,41.925961,-87.656364,Entire home/apt,61,32,42,4/22/2023,0,4,284,2,City registration pending,Not Registers,
25879,Rental unit in Chicago ,4.3, 2 bedrooms , 1 bath,41.92499,-87.65573,Entire home/apt,95,32,51,12/20/2022,0,4,347,2,City registration pending,Not Registers,
28749,Loft in Chicago ,4.8, 3 bedrooms , 2 baths,41.92137,-87.67932,Entire home/apt,154,2,187,9/10/2023,1,1,75,29,R22000079930,  Register,
37738,Home in Chicago ,5.0, 1 bedroom , 1.5 shared baths,41.97303,-87.66567,Private room,110,32,250,3/15/2020,2,2,0,0,R20000059426,  Register,
71930,Rental unit in Chicago ,4.9, 1 bedroom , 1 shared bath,41.89615,-87.67934,Private room,94,3,106,8/11/2023,1,2,185,13,R17000013986,  Register,
84042,Rental unit in Chicago ,4.9, 1 bedroom , 1 shared bath,41.89615,-87.67934,Private room,93,3,131,8/13/2023,1,2,0,14,R17000013986,  Register,
94450,Rental unit in Chicago ,5.0, 1 bedroom , 1 bath,41.9796,-87.66512,Entire home/apt,105,3,17,8/27/2023,1,1,168,14,R22000082956,  Register,
145659,Rental unit in Chicago ,4.8, 3 bedrooms , 2 baths,41.94342,-87.68121,Entire home/apt,204,2,72,8/14/2023,1,23,348,21,2209272,  Register,
145690,Rental unit in Chicago ,4.8, 4 bedrooms , 2 baths,41.91289,-87.63864,Entire home/apt,259,32,86,8/11/2022,1,23,356,0,2083778,  Register,
189821,Rental unit in Chicago ,5.0, 2 bedrooms , 1 bath,41.92918,-87.70219,Entire home/apt,250,2,624,8/31/2023,4,1,204,38,R21000062936,  Register,
207218,Rental unit in Chicago ,4.9, 1 bedroom , 1 bath,41.68843,-87.60712,Entire home/apt,100,2,313,9/4/2023,2,3,339,23,R21000073121,  Register,
207351,Place to stay in Chicago ,4.9, 1 bedroom , 1 bath,41.68954,-87.60786,Entire home/apt,50,32,46,8/8/2023,0,3,152,2,R21000073121,  Register,
225314,Home in Chicago ,4.9, 1 bedroom , 1 shared bath,41.92589,-87.69737,Private room,88,2,24,8/8/2023,0,1,315,4,R20000054219,  Register,
250354,Condo in Chicago ,4.8, 2 bedrooms , 1 bath,41.85923,-87.62198,Entire home/apt,170,180,39,4/25/2018,0,1,358,0,City registration pending,Not Registers,
258253,Rental unit in Chicago ,4.9, 1 bedroom , 1 bath,42.0076,-87.6825,Entire home/apt,48,33,30,8/25/2023,0,2,254,2,398144   Chicago:   R190000050938,  Register,
264547,Condo in Chicago ,4.8, 2 bedrooms , 1.5 baths,41.88413,-87.64315,Entire home/apt,175,32,67,10/17/2021,0,1,133,0,City registration pending,Not Registers,
289689,Condo in Chicago ,4.8, 1 bedroom , 1 private bath,41.97806,-87.65676,Private room,32,30,66,8/6/2022,0,1,294,0,R21000062931,  Register,
290155,Rental unit in Chicago ,4.8, 3 bedrooms , 1.5 baths,41.82712,-87.64046,Entire home/apt,130,32,50,3/17/2020,0,2,0,0,2074659,  Register,
312192,Rental unit in Chicago ,4.7, 2 bedrooms , 1.5 baths,41.82741,-87.63934,Entire home/apt,146,32,39,3/15/2020,0,2,0,0,2074660,  Register,
345075,Condo in Chicago ,5.0, 1 bedroom , 1 private bath,41.80774,-87.59459,Private room,100,2,281,7/30/2023,2,1,322,19,R22000076583,  Register,
350347,Loft in Chicago ,4.9, 2 bedrooms , 2 baths,41.94107,-87.65492,Entire home/apt,175,3,706,9/7/2023,5,1,236,61,R21000062667,  Register,
372929,Home in Chicago ,4.9, 3 bedrooms , 3 baths,41.89629,-87.65704,Entire home/apt,269,2,284,8/19/2023,2,2,327,24,2510875,  Register,
